TimeKey,InvoiceDate,Year,Month,Quarter
47,11/15/2024 21:37,2024,11,Q4
48,7/31/2025 16:31,2025,7,Q3
49,7/17/2025 11:04,2025,7,Q3
50,7/2/2025 20:56,2025,7,Q3
51,5/23/2025 17:54,2025,5,Q2
52,9/25/2024 20:01,2024,9,Q3
53,9/28/2024 18:44,2024,9,Q3
54,1/23/2025 13:10,2025,1,Q1
55,2/24/2025 4:46,2025,2,Q1
56,4/26/2025 8:42,2025,4,Q2
57,1/14/2025 9:57,2025,1,Q1
58,10/9/2024 12:22,2024,10,Q4
59,12/19/2024 12:33,2024,12,Q4
60,7/26/2025 8:41,2025,7,Q3
61,12/8/2024 13:52,2024,12,Q4
62,1/7/2025 21:29,2025,1,Q1
63,9/4/2024 11:31,2024,9,Q3
64,5/21/2025 3:39,2025,5,Q2
65,3/13/2025 6:33,2025,3,Q1
66,1/2/2025 21:13,2025,1,Q1
67,4/4/2025 10:53,2025,4,Q2
68,9/8/2024 17:35,2024,9,Q3
69,7/14/2025 1:47,2025,7,Q3
70,6/17/2025 4:58,2025,6,Q2
71,3/27/2025 13:17,2025,3,Q1
72,9/19/2024 0:30,2024,9,Q3
73,6/30/2025 9:32,2025,6,Q2
74,12/6/2024 0:54,2024,12,Q4
75,2/12/2025 4:56,2025,2,Q1
76,8/25/2024 7:54,2024,8,Q3
77,2/19/2025 23:28,2025,2,Q1
78,2/15/2025 9:07,2025,2,Q1
79,10/16/2024 19:09,2024,10,Q4
80,4/10/2025 3:58,2025,4,Q2
81,11/23/2024 23:25,2024,11,Q4
82,2/26/2025 7:49,2025,2,Q1
83,10/10/2024 3:27,2024,10,Q4
84,12/9/2024 2:26,2024,12,Q4
85,8/27/2024 4:44,2024,8,Q3
86,10/24/2024 20:25,2024,10,Q4
87,5/5/2025 1:48,2025,5,Q2
88,4/24/2025 16:05,2025,4,Q2
89,4/16/2025 1:59,2025,4,Q2
90,2/7/2025 8:22,2025,2,Q1
91,9/29/2024 23:18,2024,9,Q3
92,10/31/2024 21:26,2024,10,Q4
93,11/29/2024 20:31,2024,11,Q4
94,11/4/2024 2:29,2024,11,Q4
95,1/6/2025 5:29,2025,1,Q1
96,1/9/2025 23:31,2025,1,Q1
97,4/27/2025 5:46,2025,4,Q2
98,3/5/2025 14:04,2025,3,Q1
99,7/13/2025 19:09,2025,7,Q3
100,8/17/2024 11:14,2024,8,Q3
101,5/5/2025 4:46,2025,5,Q2
102,5/12/2025 6:01,2025,5,Q2
103,11/26/2024 10:15,2024,11,Q4
104,1/21/2025 4:32,2025,1,Q1
105,4/14/2025 19:31,2025,4,Q2
106,5/23/2025 14:05,2025,5,Q2
107,2/21/2025 12:19,2025,2,Q1
108,1/1/2025 18:06,2025,1,Q1
109,7/6/2025 15:57,2025,7,Q3
110,9/7/2024 20:39,2024,9,Q3
111,7/22/2025 17:53,2025,7,Q3
112,11/9/2024 3:11,2024,11,Q4
113,3/20/2025 13:25,2025,3,Q1
114,10/4/2024 20:55,2024,10,Q4
115,1/22/2025 12:32,2025,1,Q1
116,5/23/2025 20:03,2025,5,Q2
117,1/7/2025 23:20,2025,1,Q1
118,4/22/2025 12:17,2025,4,Q2
119,5/29/2025 20:59,2025,5,Q2
120,1/2/2025 22:50,2025,1,Q1
121,9/30/2024 10:49,2024,9,Q3
122,12/19/2024 16:54,2024,12,Q4
123,5/3/2025 15:13,2025,5,Q2
124,9/25/2024 1:51,2024,9,Q3
125,9/10/2024 18:21,2024,9,Q3
126,8/11/2025 12:07,2025,8,Q3
127,7/16/2025 22:54,2025,7,Q3
128,10/13/2024 5:30,2024,10,Q4
129,8/31/2024 11:25,2024,8,Q3
130,7/9/2025 23:25,2025,7,Q3
131,3/5/2025 10:52,2025,3,Q1
132,12/24/2024 11:32,2024,12,Q4
133,7/4/2025 19:46,2025,7,Q3
134,2/13/2025 9:52,2025,2,Q1
135,4/3/2025 8:42,2025,4,Q2
136,2/25/2025 5:45,2025,2,Q1
137,2/9/2025 1:21,2025,2,Q1
138,12/31/2024 6:47,2024,12,Q4
139,4/20/2025 3:54,2025,4,Q2
140,1/29/2025 17:58,2025,1,Q1
141,9/30/2024 15:34,2024,9,Q3
142,11/11/2024 9:43,2024,11,Q4
143,7/14/2025 18:17,2025,7,Q3
144,8/22/2024 22:22,2024,8,Q3
145,4/23/2025 13:36,2025,4,Q2
146,3/31/2025 17:47,2025,3,Q1
147,1/18/2025 15:07,2025,1,Q1
148,10/18/2024 12:32,2024,10,Q4
149,9/1/2024 13:40,2024,9,Q3
150,11/28/2024 19:49,2024,11,Q4
151,5/2/2025 0:34,2025,5,Q2
152,4/15/2025 1:46,2025,4,Q2
153,4/15/2025 11:40,2025,4,Q2
154,3/3/2025 18:02,2025,3,Q1
155,10/11/2024 14:51,2024,10,Q4
156,10/11/2024 20:17,2024,10,Q4
157,6/4/2025 2:52,2025,6,Q2
158,4/4/2025 20:20,2025,4,Q2
159,2/8/2025 23:37,2025,2,Q1
160,4/1/2025 21:05,2025,4,Q2
161,9/3/2024 20:44,2024,9,Q3
162,5/30/2025 17:51,2025,5,Q2
163,2/21/2025 17:46,2025,2,Q1
164,6/26/2025 1:45,2025,6,Q2
165,8/5/2025 5:29,2025,8,Q3
166,5/26/2025 22:26,2025,5,Q2
167,2/26/2025 14:58,2025,2,Q1
168,1/7/2025 15:40,2025,1,Q1
169,8/28/2024 14:46,2024,8,Q3
170,6/11/2025 23:39,2025,6,Q2
171,12/11/2024 2:02,2024,12,Q4
172,6/2/2025 12:03,2025,6,Q2
173,3/14/2025 17:18,2025,3,Q1
174,9/13/2024 19:40,2024,9,Q3
175,5/1/2025 21:41,2025,5,Q2
176,11/15/2024 17:51,2024,11,Q4
177,4/2/2025 13:50,2025,4,Q2
178,10/8/2024 14:07,2024,10,Q4
179,7/13/2025 13:51,2025,7,Q3
180,10/25/2024 23:42,2024,10,Q4
181,5/21/2025 17:52,2025,5,Q2
182,8/19/2024 4:08,2024,8,Q3
183,11/26/2024 7:37,2024,11,Q4
184,11/13/2024 21:46,2024,11,Q4
185,7/30/2025 19:32,2025,7,Q3
186,11/28/2024 21:25,2024,11,Q4
187,11/2/2024 16:28,2024,11,Q4
188,6/5/2025 3:58,2025,6,Q2
189,4/9/2025 15:38,2025,4,Q2
190,8/1/2025 2:16,2025,8,Q3
191,11/22/2024 4:08,2024,11,Q4
192,9/16/2024 21:22,2024,9,Q3
193,8/3/2025 10:49,2025,8,Q3
194,10/13/2024 21:42,2024,10,Q4
195,2/12/2025 23:29,2025,2,Q1
196,10/10/2024 16:09,2024,10,Q4
197,12/31/2024 20:00,2024,12,Q4
198,2/17/2025 1:30,2025,2,Q1
199,6/11/2025 9:00,2025,6,Q2
200,11/3/2024 4:16,2024,11,Q4
201,8/8/2025 22:13,2025,8,Q3
202,3/17/2025 12:46,2025,3,Q1
203,11/16/2024 2:44,2024,11,Q4
204,2/22/2025 21:02,2025,2,Q1
205,11/21/2024 0:01,2024,11,Q4
206,6/6/2025 6:01,2025,6,Q2
207,1/24/2025 16:12,2025,1,Q1
208,8/22/2024 10:53,2024,8,Q3
209,2/2/2025 0:26,2025,2,Q1
210,8/20/2024 19:53,2024,8,Q3
211,5/16/2025 18:14,2025,5,Q2
212,2/12/2025 22:25,2025,2,Q1
213,8/14/2024 2:01,2024,8,Q3
214,2/28/2025 23:52,2025,2,Q1
215,2/28/2025 16:37,2025,2,Q1
216,5/10/2025 8:49,2025,5,Q2
217,5/24/2025 0:20,2025,5,Q2
218,2/4/2025 8:40,2025,2,Q1
219,1/10/2025 4:51,2025,1,Q1
220,10/30/2024 4:45,2024,10,Q4
221,4/1/2025 3:58,2025,4,Q2
222,7/5/2025 10:52,2025,7,Q3
223,2/25/2025 9:05,2025,2,Q1
224,11/8/2024 4:41,2024,11,Q4
225,7/11/2025 15:32,2025,7,Q3
226,10/6/2024 20:02,2024,10,Q4
227,9/6/2024 13:04,2024,9,Q3
228,12/7/2024 19:16,2024,12,Q4
229,6/14/2025 8:46,2025,6,Q2
230,8/1/2025 12:48,2025,8,Q3
231,2/17/2025 11:15,2025,2,Q1
232,8/2/2025 5:09,2025,8,Q3
233,6/20/2025 14:24,2025,6,Q2
234,11/1/2024 23:16,2024,11,Q4
235,7/22/2025 22:20,2025,7,Q3
236,7/17/2025 10:43,2025,7,Q3
237,3/15/2025 1:10,2025,3,Q1
238,1/1/2025 5:07,2025,1,Q1
239,5/24/2025 3:13,2025,5,Q2
240,8/30/2024 5:51,2024,8,Q3
241,12/18/2024 1:07,2024,12,Q4
242,2/15/2025 9:39,2025,2,Q1
243,3/19/2025 20:00,2025,3,Q1
244,12/6/2024 17:48,2024,12,Q4
245,11/4/2024 16:55,2024,11,Q4
246,3/19/2025 22:35,2025,3,Q1
247,4/12/2025 9:23,2025,4,Q2
248,9/21/2024 20:05,2024,9,Q3
249,4/4/2025 19:01,2025,4,Q2
250,4/5/2025 21:12,2025,4,Q2
251,2/10/2025 12:31,2025,2,Q1
252,4/26/2025 17:13,2025,4,Q2
253,7/9/2025 14:37,2025,7,Q3
254,7/13/2025 3:34,2025,7,Q3
255,10/1/2024 17:38,2024,10,Q4
256,11/29/2024 18:23,2024,11,Q4
257,4/11/2025 16:14,2025,4,Q2
258,7/17/2025 3:17,2025,7,Q3
259,1/18/2025 0:43,2025,1,Q1
260,8/7/2025 23:24,2025,8,Q3
261,12/1/2024 11:00,2024,12,Q4
262,1/16/2025 13:37,2025,1,Q1
263,12/17/2024 2:19,2024,12,Q4
264,8/9/2025 23:43,2025,8,Q3
265,3/28/2025 22:35,2025,3,Q1
266,3/17/2025 16:39,2025,3,Q1
267,5/19/2025 6:26,2025,5,Q2
268,5/21/2025 15:38,2025,5,Q2
269,5/14/2025 9:03,2025,5,Q2
270,1/8/2025 21:25,2025,1,Q1
271,1/25/2025 21:42,2025,1,Q1
272,6/8/2025 1:21,2025,6,Q2
273,4/11/2025 1:44,2025,4,Q2
274,10/11/2024 16:10,2024,10,Q4
275,5/10/2025 22:03,2025,5,Q2
276,2/23/2025 18:04,2025,2,Q1
277,7/5/2025 11:23,2025,7,Q3
278,6/21/2025 23:33,2025,6,Q2
279,3/16/2025 15:57,2025,3,Q1
280,1/28/2025 22:30,2025,1,Q1
281,7/4/2025 23:21,2025,7,Q3
282,1/10/2025 17:05,2025,1,Q1
283,11/24/2024 16:10,2024,11,Q4
284,3/4/2025 19:59,2025,3,Q1
285,6/12/2025 16:36,2025,6,Q2
286,3/7/2025 22:33,2025,3,Q1
287,6/16/2025 8:04,2025,6,Q2
288,7/30/2025 3:52,2025,7,Q3
289,10/4/2024 3:53,2024,10,Q4
290,11/22/2024 6:56,2024,11,Q4
291,4/5/2025 4:29,2025,4,Q2
292,12/18/2024 18:30,2024,12,Q4
293,6/15/2025 21:51,2025,6,Q2
294,10/7/2024 21:56,2024,10,Q4
295,2/28/2025 23:01,2025,2,Q1
296,11/17/2024 3:43,2024,11,Q4
297,9/11/2024 15:10,2024,9,Q3
298,8/7/2025 23:34,2025,8,Q3
299,8/7/2025 5:38,2025,8,Q3
300,1/31/2025 8:00,2025,1,Q1
301,2/18/2025 19:33,2025,2,Q1
302,9/5/2024 4:07,2024,9,Q3
303,8/29/2024 18:43,2024,8,Q3
304,5/14/2025 2:23,2025,5,Q2
305,7/14/2025 5:35,2025,7,Q3
306,10/2/2024 14:07,2024,10,Q4
307,7/1/2025 4:18,2025,7,Q3
308,12/9/2024 5:41,2024,12,Q4
309,1/17/2025 5:11,2025,1,Q1
310,6/29/2025 20:39,2025,6,Q2
311,6/29/2025 23:51,2025,6,Q2
312,11/15/2024 11:57,2024,11,Q4
313,5/29/2025 15:52,2025,5,Q2
314,12/15/2024 16:51,2024,12,Q4
315,5/14/2025 2:47,2025,5,Q2
316,4/7/2025 7:44,2025,4,Q2
317,6/11/2025 5:24,2025,6,Q2
318,1/15/2025 3:17,2025,1,Q1
319,7/12/2025 6:02,2025,7,Q3
320,3/13/2025 5:19,2025,3,Q1
321,12/23/2024 8:26,2024,12,Q4
322,1/23/2025 13:09,2025,1,Q1
323,1/6/2025 5:03,2025,1,Q1
324,6/4/2025 14:57,2025,6,Q2
325,4/18/2025 5:11,2025,4,Q2
326,7/12/2025 15:17,2025,7,Q3
327,4/17/2025 1:25,2025,4,Q2
328,7/25/2025 20:58,2025,7,Q3
329,7/16/2025 11:30,2025,7,Q3
330,9/21/2024 7:24,2024,9,Q3
331,3/2/2025 17:36,2025,3,Q1
332,6/17/2025 4:20,2025,6,Q2
333,9/25/2024 12:19,2024,9,Q3
334,1/26/2025 10:25,2025,1,Q1
335,11/3/2024 0:23,2024,11,Q4
336,1/15/2025 18:46,2025,1,Q1
337,6/27/2025 14:23,2025,6,Q2
338,1/11/2025 3:52,2025,1,Q1
339,12/19/2024 8:51,2024,12,Q4
340,7/30/2025 8:22,2025,7,Q3
341,7/29/2025 9:35,2025,7,Q3
342,5/1/2025 0:14,2025,5,Q2
343,1/16/2025 10:12,2025,1,Q1
344,12/13/2024 19:41,2024,12,Q4
345,9/3/2024 21:09,2024,9,Q3
346,10/19/2024 7:39,2024,10,Q4
347,11/15/2024 6:32,2024,11,Q4
348,12/8/2024 0:21,2024,12,Q4
349,6/6/2025 19:36,2025,6,Q2
350,1/15/2025 17:44,2025,1,Q1
351,11/28/2024 22:59,2024,11,Q4
352,3/19/2025 14:44,2025,3,Q1
353,9/21/2024 3:45,2024,9,Q3
354,2/23/2025 16:11,2025,2,Q1
355,5/19/2025 23:09,2025,5,Q2
356,2/9/2025 0:18,2025,2,Q1
357,10/25/2024 10:39,2024,10,Q4
358,11/1/2024 14:22,2024,11,Q4
359,2/6/2025 9:47,2025,2,Q1
360,5/25/2025 16:34,2025,5,Q2
361,2/18/2025 17:07,2025,2,Q1
362,10/29/2024 11:48,2024,10,Q4
363,11/2/2024 20:21,2024,11,Q4
364,2/18/2025 12:39,2025,2,Q1
365,5/8/2025 8:41,2025,5,Q2
366,1/2/2025 20:04,2025,1,Q1
367,6/15/2025 17:50,2025,6,Q2
368,4/23/2025 2:34,2025,4,Q2
369,2/3/2025 1:28,2025,2,Q1
370,3/17/2025 22:46,2025,3,Q1
371,8/12/2024 16:42,2024,8,Q3
372,9/26/2024 18:22,2024,9,Q3
373,3/10/2025 19:51,2025,3,Q1
374,9/21/2024 0:00,2024,9,Q3
375,2/28/2025 18:36,2025,2,Q1
376,12/23/2024 20:58,2024,12,Q4
377,9/5/2024 2:51,2024,9,Q3
378,1/9/2025 3:16,2025,1,Q1
379,1/6/2025 15:49,2025,1,Q1
380,12/23/2024 14:23,2024,12,Q4
381,10/25/2024 11:46,2024,10,Q4
382,10/18/2024 13:17,2024,10,Q4
383,6/6/2025 14:04,2025,6,Q2
384,2/6/2025 3:12,2025,2,Q1
385,1/6/2025 10:02,2025,1,Q1
386,1/26/2025 22:17,2025,1,Q1
387,8/3/2025 19:04,2025,8,Q3
388,5/25/2025 9:58,2025,5,Q2
389,4/29/2025 22:27,2025,4,Q2
390,7/15/2025 0:56,2025,7,Q3
391,12/4/2024 23:39,2024,12,Q4
392,6/29/2025 7:23,2025,6,Q2
393,7/16/2025 11:49,2025,7,Q3
394,9/4/2024 11:23,2024,9,Q3
395,11/21/2024 1:32,2024,11,Q4
396,1/21/2025 22:57,2025,1,Q1
397,6/3/2025 16:26,2025,6,Q2
398,2/21/2025 4:55,2025,2,Q1
399,4/7/2025 7:21,2025,4,Q2
400,8/9/2025 5:58,2025,8,Q3
401,5/22/2025 13:12,2025,5,Q2
402,9/2/2024 20:02,2024,9,Q3
403,4/17/2025 0:14,2025,4,Q2
404,6/25/2025 21:02,2025,6,Q2
405,10/11/2024 6:29,2024,10,Q4
406,8/14/2024 1:18,2024,8,Q3
407,10/22/2024 20:02,2024,10,Q4
408,3/19/2025 22:54,2025,3,Q1
409,10/22/2024 22:10,2024,10,Q4
410,1/1/2025 18:55,2025,1,Q1
411,8/6/2025 10:34,2025,8,Q3
412,3/7/2025 23:12,2025,3,Q1
413,11/25/2024 19:33,2024,11,Q4
414,3/12/2025 11:29,2025,3,Q1
415,2/9/2025 6:02,2025,2,Q1
416,8/26/2024 16:27,2024,8,Q3
417,1/29/2025 11:17,2025,1,Q1
418,7/15/2025 21:38,2025,7,Q3
419,6/16/2025 11:22,2025,6,Q2
420,11/8/2024 1:50,2024,11,Q4
421,12/14/2024 16:47,2024,12,Q4
422,1/13/2025 3:44,2025,1,Q1
423,2/23/2025 5:47,2025,2,Q1
424,4/8/2025 15:41,2025,4,Q2
425,11/28/2024 11:50,2024,11,Q4
426,4/15/2025 3:57,2025,4,Q2
427,6/18/2025 2:14,2025,6,Q2
428,11/17/2024 19:20,2024,11,Q4
429,8/24/2024 19:59,2024,8,Q3
430,10/30/2024 19:50,2024,10,Q4
431,9/8/2024 13:07,2024,9,Q3
432,12/18/2024 13:25,2024,12,Q4
433,2/1/2025 10:10,2025,2,Q1
434,6/21/2025 2:50,2025,6,Q2
435,2/9/2025 0:23,2025,2,Q1
436,10/16/2024 12:50,2024,10,Q4
437,4/14/2025 11:04,2025,4,Q2
438,3/26/2025 6:09,2025,3,Q1
439,12/20/2024 3:00,2024,12,Q4
440,2/2/2025 1:12,2025,2,Q1
441,10/7/2024 13:57,2024,10,Q4
442,9/23/2024 17:20,2024,9,Q3
443,9/14/2024 17:16,2024,9,Q3
444,9/6/2024 11:29,2024,9,Q3
445,6/30/2025 21:26,2025,6,Q2
446,1/30/2025 3:46,2025,1,Q1
447,8/6/2025 4:22,2025,8,Q3
448,6/5/2025 20:36,2025,6,Q2
449,12/2/2024 2:45,2024,12,Q4
450,1/20/2025 17:51,2025,1,Q1
451,9/8/2024 17:33,2024,9,Q3
452,9/25/2024 2:00,2024,9,Q3
453,9/8/2024 6:57,2024,9,Q3
454,12/22/2024 3:05,2024,12,Q4
455,1/4/2025 19:26,2025,1,Q1
456,3/27/2025 8:28,2025,3,Q1
457,12/6/2024 22:30,2024,12,Q4
458,10/10/2024 6:07,2024,10,Q4
459,12/11/2024 4:37,2024,12,Q4
460,5/15/2025 10:57,2025,5,Q2
461,10/7/2024 7:16,2024,10,Q4
462,11/23/2024 15:13,2024,11,Q4
463,5/26/2025 22:15,2025,5,Q2
464,12/24/2024 7:52,2024,12,Q4
465,2/5/2025 14:21,2025,2,Q1
466,8/20/2024 16:56,2024,8,Q3
467,8/2/2025 2:26,2025,8,Q3
468,2/14/2025 4:08,2025,2,Q1
469,11/17/2024 17:42,2024,11,Q4
470,2/16/2025 4:48,2025,2,Q1
471,6/13/2025 23:31,2025,6,Q2
472,2/10/2025 10:23,2025,2,Q1
473,3/9/2025 1:15,2025,3,Q1
474,12/9/2024 10:33,2024,12,Q4
475,12/26/2024 11:34,2024,12,Q4
476,11/7/2024 10:30,2024,11,Q4
477,4/15/2025 3:08,2025,4,Q2
478,4/7/2025 13:40,2025,4,Q2
479,11/27/2024 20:40,2024,11,Q4
480,3/1/2025 17:51,2025,3,Q1
481,11/28/2024 8:10,2024,11,Q4
482,5/24/2025 17:12,2025,5,Q2
483,7/16/2025 23:28,2025,7,Q3
484,8/16/2024 21:09,2024,8,Q3
485,7/22/2025 4:21,2025,7,Q3
486,5/27/2025 2:47,2025,5,Q2
487,7/16/2025 13:11,2025,7,Q3
488,1/23/2025 10:14,2025,1,Q1
489,12/19/2024 15:42,2024,12,Q4
490,6/28/2025 12:47,2025,6,Q2
491,2/12/2025 0:09,2025,2,Q1
492,8/21/2024 21:27,2024,8,Q3
493,10/19/2024 7:48,2024,10,Q4
